Year,Planet
1,Saturn
2,Saturn
3,Saturn
4,Saturn
5,Saturn
6,Saturn
7,Saturn
8,Saturn
9,Saturn
10,Saturn
11,Saturn
12,Saturn
13,Saturn
14,Saturn
15,Saturn
16,Saturn
17,Saturn
18,Saturn
19,Saturn
20,Saturn
21,Saturn
22,Saturn
23,Saturn
24,Saturn
25,Saturn
26,Saturn
27,Saturn
28,Saturn
29,Saturn
30,Saturn
31,Saturn
32,Saturn
33,Saturn
34,Saturn
35,Saturn
36,Saturn
37,Venus
38,Venus
39,Venus
40,Venus
41,Venus
42,Venus
43,Venus
44,Venus
45,Venus
46,Venus
47,Venus
48,Venus
49,Venus
50,Venus
51,Venus
52,Venus
53,Venus
54,Venus
55,Venus
56,Venus
57,Venus
58,Venus
59,Venus
60,Venus
61,Venus
62,Venus
63,Venus
64,Venus
65,Venus
66,Venus
67,Venus
68,Venus
69,Venus
70,Venus
71,Venus
72,Venus
73,Jupiter
74,Jupiter
75,Jupiter
76,Jupiter
77,Jupiter
78,Jupiter
79,Jupiter
80,Jupiter
81,Jupiter
82,Jupiter
83,Jupiter
84,Jupiter
85,Jupiter
86,Jupiter
87,Jupiter
88,Jupiter
89,Jupiter
90,Jupiter
91,Jupiter
92,Jupiter
93,Jupiter
94,Jupiter
95,Jupiter
96,Jupiter
97,Jupiter
98,Jupiter
99,Jupiter
100,Jupiter
101,Jupiter
102,Jupiter
103,Jupiter
104,Jupiter
105,Jupiter
106,Jupiter
107,Jupiter
108,Jupiter
109,Mercury
110,Mercury
111,Mercury
112,Mercury
113,Mercury
114,Mercury
115,Mercury
116,Mercury
117,Mercury
118,Mercury
119,Mercury
120,Mercury
121,Mercury
122,Mercury
123,Mercury
124,Mercury
125,Mercury
126,Mercury
127,Mercury
128,Mercury
129,Mercury
130,Mercury
131,Mercury
132,Mercury
133,Mercury
134,Mercury
135,Mercury
136,Mercury
137,Mercury
138,Mercury
139,Mercury
140,Mercury
141,Mercury
142,Mercury
143,Mercury
144,Mercury
145,Mars
146,Mars
147,Mars
148,Mars
149,Mars
150,Mars
151,Mars
152,Mars
153,Mars
154,Mars
155,Mars
156,Mars
157,Mars
158,Mars
159,Mars
160,Mars
161,Mars
162,Mars
163,Mars
164,Mars
165,Mars
166,Mars
167,Mars
168,Mars
169,Mars
170,Mars
171,Mars
172,Mars
173,Mars
174,Mars
175,Mars
176,Mars
177,Mars
178,Mars
179,Mars
180,Mars
181,Moon
182,Moon
183,Moon
184,Moon
185,Moon
186,Moon
187,Moon
188,Moon
189,Moon
190,Moon
191,Moon
192,Moon
193,Moon
194,Moon
195,Moon
196,Moon
197,Moon
198,Moon
199,Moon
200,Moon
201,Moon
202,Moon
