Hora;Domingo;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;Sábado
06:00;22;2;11;17;4;3;20
07:00;3;20;22;2;11;17;4
08:00;17;4;3;20;22;2;11
09:00;2;11;17;4;3;20;22
10:00;20;22;2;11;17;4;3
11:00;4;3;20;22;2;11;17
12:00;11;17;4;3;20;22;2
13:00;22;2;11;17;4;3;20
14:00;3;20;22;2;11;17;4
15:00;17;4;3;20;22;2;11
16:00;2;11;17;4;3;20;22
17:00;20;22;2;11;17;4;3
18:00;4;3;20;22;2;11;17
19:00;11;17;4;3;20;22;2
20:00;22;2;11;17;4;3;20
21:00;3;20;22;2;11;17;4
22:00;17;4;3;20;22;2;11
23:00;2;11;17;4;3;20;22
00:00;20;22;2;11;17;4;3
01:00;4;3;20;22;2;11;17
02:00;11;17;4;3;20;22;2
03:00;22;2;11;17;4;3;20
04:00;3;20;22;2;11;17;4
05:00;17;4;3;20;22;2;11
