Hora;Segunda-feira;Terca-feira;Quarta-feira;Quinta-feira;Sexta-feira;Sabado;Domingo
06:00;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol
07:00;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus
08:00;Júpiter;Vênus;Saturno;Sol;Lua;Marte;Mercúrio
09:00;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua
10:00;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno
11:00;Vênus;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter
12:00;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua;Marte
13:00;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol
14:00;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus
15:00;Júpiter;Vênus;Saturno;Sol;Lua;Marte;Mercúrio
16:00;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua
17:00;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno
18:00;Vênus;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter
19:00;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua;Marte
20:00;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol
21:00;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus
22:00;Júpiter;Vênus;Saturno;Sol;Lua;Marte;Mercúrio
23:00;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua
00:00;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno
01:00;Vênus;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter
02:00;Mercúrio;Júpiter;Vênus;Saturno;Sol;Lua;Marte
03:00;Lua;Marte;Mercúrio;Júpiter;Vênus;Saturno;Sol
04:00;Saturno;Sol;Lua;Marte;Mercúrio;Júpiter;Vênus
05:00;Júpiter;Vênus;Saturno;Sol;Lua;Marte;Mercúrio
